Match ID,Player,Champion,Individual Position,Role,Lane,Team Position
NA1_5388508171,7,Riven,MIDDLE,SOLO,MIDDLE,MIDDLE
NA1_5388508171,8,Karthus,BOTTOM,CARRY,BOTTOM,BOTTOM
NA1_5388508171,9,Senna,UTILITY,SUPPORT,BOTTOM,UTILITY
NA1_5388464165,0,DrMundo,TOP,SOLO,TOP,TOP
NA1_5388464165,1,Sylas,JUNGLE,NONE,JUNGLE,JUNGLE
NA1_5388464165,2,Vladimir,MIDDLE,SOLO,MIDDLE,MIDDLE
NA1_5388464165,3,Sivir,BOTTOM,CARRY,BOTTOM,BOTTOM
NA1_5388464165,4,Neeko,UTILITY,SUPPORT,BOTTOM,UTILITY
NA1_5388464165,5,Yone,TOP,SOLO,TOP,TOP
NA1_5388464165,6,Zyra,JUNGLE,NONE,JUNGLE,JUNGLE
NA1_5388464165,7,Riven,MIDDLE,SOLO,MIDDLE,MIDDLE
NA1_5388464165,8,Ahri,BOTTOM,CARRY,BOTTOM,BOTTOM
NA1_5388464165,9,Senna,UTILITY,SUPPORT,BOTTOM,UTILITY
